,osm_id,highway,length,geometry
13668,23229178,cycleway,299.172038718078,"SRID=3857;LINESTRING(913471.43 7015108.42,913528.49 7015091.95,913600.87 7015076.53,913633.11 7015073.95,913687.31 7015070.59,913724.38 7015075.81,913765.85 7015080.14)"
17315,20812740,cycleway,795.433815068764,"SRID=3857;LINESTRING(917618.97 7011534.84,917651.89 7011489.08,917660.53 7011476.98,917668.48 7011468.97,917683.55 7011465.09,917745.61 7011456.07,917833.93 7011446.42,917853.43 7011441.72,917884.17 7011436.51,917952.92 7011432.76,918039.71 7011428.99,918067.91 7011484.96,918091.52 7011564.22,918104.58 7011625.28,918122.73 7011690.7,918123.28 7011753.82)"
13670,23229179,cycleway,24.3304630852856,"SRID=3857;LINESTRING(913736.06 7015057.46,913735.19 7015068.96,913724.38 7015075.81)"
7556,32344019,cycleway,52.4597674410421,"SRID=3857;LINESTRING(910117.89 7008848.73,910162.65 7008876.09)"
7555,27083674,cycleway,257.755128535397,"SRID=3857;LINESTRING(910027.7 7008889.37,910016.71 7008897.93,910011.79 7008909.94,910014.84 7008930.48,910015.99 7008941.65,910049.55 7009090.71,910058.13 7009116.45,910067.87 7009132.68)"
5004,9635950,cycleway,491.730571428363,"SRID=3857;LINESTRING(915460.36 7001732.88,915423.53 7001804.57,915395.58 7001859.03,915289.36 7002069.53,915238.02 7002171.47)"
19000,26808048,cycleway,56.3005550617458,"SRID=3857;LINESTRING(913055.43 7017472.59,913010.24 7017506.17)"
13658,23229172,cycleway,105.556506477202,"SRID=3857;LINESTRING(913605.04 7014904.95,913643.05 7014845.11,913669.97 7014823.26999999)"
18970,25621567,cycleway,135.371727325602,"SRID=3857;LINESTRING(912488.74 7018206.48,912497.92 7018191.73,912559.66 7018176.33,912577.43 7018140.25,912590.85 7018135.77)"
7781,35223885,cycleway,32.7275123580944,"SRID=3857;LINESTRING(911726.15 7007767.19,911724.61 7007751.7,911722.66 7007734.65)"
7775,35223887,cycleway,31.9924581067163,"SRID=3857;LINESTRING(911607.85 7007783.35,911605.65 7007768.07,911603.88 7007751.61)"
9921,27046695,cycleway,61.5259091814461,"SRID=3857;LINESTRING(914631.57 7007172.27,914617.4 7007180.07,914573.63 7007191.94)"
6143,24537568,cycleway,60.0548605766649,"SRID=3857;LINESTRING(916304.45 7003035.58,916303.44 7003022.58,916315.76 7002997.2,916331.82 7002987.42)"
20264,26686399,cycleway,45.4456785624954,"SRID=3857;LINESTRING(916971.75 7017297.68,916986.34 7017254.64)"
20262,26686391,cycleway,136.620645967114,"SRID=3857;LINESTRING(916840.73 7017561.53,916876.23 7017573.52,916906.14 7017588.01,916918.85 7017594.16,916965.46 7017616.75)"
